9.216	9.504
9.536	9.696
13.696	13.824
15.296	15.424
15.456	15.552
15.680	15.840
18.688	18.816
18.944	19.840
20.352	20.928
21.152	21.952
21.984	22.016
23.072	25.184
25.248	26.048
29.824	30.720
33.888	34.944
39.136	39.872
43.616	48.320
51.616	52.576
56.256	59.584
63.136	64.576
64.832	65.984
66.848	68.928
70.272	71.648
75.968	76.672
81.216	81.856
85.632	87.840
88.928	89.472
89.504	92.672
92.928	94.720
95.392	97.376
100.864	101.632
104.640	105.472
110.272	110.944
113.856	114.400
118.048	118.816
121.792	122.272
125.216	125.728
128.160	129.568
132.480	133.056
136.160	136.992
141.056	143.936
145.280	147.392
151.104	151.712
154.592	155.072
155.136	155.968
159.840	164.064
164.192	165.600
170.272	172.064
172.160	172.992
173.120	174.080
174.464	174.912
